Person,Date,Activity,Activity Duration
27,2024-02-29,Meal,0.5
27,2024-02-29,On Queue,9.25
27,2024-03-01,Break,0.75
27,2024-03-01,Meal,0.5
27,2024-03-01,On Queue,9.25
27,2024-03-02,Break,0.25
27,2024-03-02,On Queue,4.75
27,2024-03-05,Break,0.75
27,2024-03-05,Meal,0.5
27,2024-03-05,On Queue,9.25
27,2024-03-06,Break,0.75
27,2024-03-06,Meal,0.5
27,2024-03-06,On Queue,9.25
27,2024-03-07,Break,0.75
27,2024-03-07,Meal,0.5
27,2024-03-07,On Queue,9.25
27,2024-03-08,Break,0.75
27,2024-03-08,Meal,0.5
27,2024-03-08,On Queue,9.25
27,2024-03-13,Absent,10.5
27,2024-03-14,Break,0.75
27,2024-03-14,Meal,0.5
27,2024-03-14,On Queue,9.25
27,2024-03-15,Break,0.75
27,2024-03-15,Meal,0.5
27,2024-03-15,On Queue,9.25
27,2024-03-19,Break,0.75
27,2024-03-19,Meal,0.5
27,2024-03-19,On Queue,9.25
27,2024-03-20,Break,0.75
27,2024-03-20,Meal,0.5
27,2024-03-20,On Queue,9.25
27,2024-03-21,Break,0.75
27,2024-03-21,Meal,0.5
27,2024-03-21,On Queue,9.25
27,2024-03-22,Break,0.75
27,2024-03-22,Meal,0.5
27,2024-03-22,On Queue,9.25
28,2024-02-26,Break,0.5
28,2024-02-26,Meal,0.5
28,2024-02-26,On Queue,7.5
28,2024-02-27,Break,0.5
28,2024-02-27,Meal,0.5
28,2024-02-27,On Queue,7.5
28,2024-02-28,Break,0.5
28,2024-02-28,Meal,0.5
28,2024-02-28,On Queue,7.5
28,2024-02-29,Absent,4.5
28,2024-02-29,Break,0.25
28,2024-02-29,On Queue,3.75
28,2024-03-01,Break,0.5
28,2024-03-01,Meal,0.5
28,2024-03-01,On Queue,7.5
28,2024-03-04,Absent,2.4833333333333334
28,2024-03-04,Break,0.25
28,2024-03-04,Meal,0.5
28,2024-03-04,On Queue,5.266666666666667
28,2024-03-05,Break,0.25
28,2024-03-05,Meal,0.5
28,2024-03-05,On Queue,7.75
28,2024-03-06,Break,0.5
28,2024-03-06,Meal,0.5
28,2024-03-06,On Queue,7.5
28,2024-03-07,Break,0.5
28,2024-03-07,Meal,0.5
28,2024-03-07,On Queue,7.5
28,2024-03-08,Break,0.5
28,2024-03-08,Meal,0.5
28,2024-03-08,On Queue,7.5
28,2024-03-11,Break,0.5
28,2024-03-11,Meal,0.5
28,2024-03-11,On Queue,7.5
28,2024-03-12,Break,0.5
28,2024-03-12,Meal,0.5
28,2024-03-12,On Queue,7.5
28,2024-03-13,Absent,0.5
28,2024-03-13,Break,0.25
28,2024-03-13,On Queue,5.75
28,2024-03-13,Time Off,2.0
28,2024-03-14,Break,0.5
28,2024-03-14,Meal,0.5
28,2024-03-14,On Queue,7.5
28,2024-03-15,Break,0.25
28,2024-03-15,On Queue,3.75
28,2024-03-15,Time Off,4.5
28,2024-03-18,Break,0.5
28,2024-03-18,Meal,0.5
28,2024-03-18,On Queue,7.5
28,2024-03-19,Break,0.5
28,2024-03-19,Meal,0.5
28,2024-03-19,On Queue,7.5
28,2024-03-20,Break,0.5
28,2024-03-20,Meal,0.5
28,2024-03-20,On Queue,7.5
28,2024-03-21,Absent,3.9166666666666665
28,2024-03-21,Break,0.25
28,2024-03-21,Meeting,0.5
28,2024-03-21,On Queue,3.8333333333333335
28,2024-03-22,Break,0.5
28,2024-03-22,Meal,0.5
28,2024-03-22,On Queue,7.5
29,2024-02-27,Break,0.75
29,2024-02-27,Meal,0.5
29,2024-02-27,On Queue,9.25
29,2024-02-28,Break,0.75
29,2024-02-28,Meal,0.5
29,2024-02-28,On Queue,9.25
29,2024-02-29,Break,0.75
29,2024-02-29,Meal,0.5
29,2024-02-29,On Queue,9.25
29,2024-03-02,Break,0.5
29,2024-03-02,Meal,0.5
29,2024-03-02,Program Training,7.5
29,2024-03-05,Break,0.75
29,2024-03-05,Meal,0.5
29,2024-03-05,On Queue,9.25
29,2024-03-06,Break,0.75
29,2024-03-06,Meal,0.5
29,2024-03-06,On Queue,9.25
29,2024-03-07,Break,0.75
29,2024-03-07,Meal,0.5
29,2024-03-07,On Queue,9.25
29,2024-03-09,Break,0.5
29,2024-03-09,Meal,0.5
29,2024-03-09,Program Training,7.5
29,2024-03-12,Break,0.75
29,2024-03-12,Meal,0.5
29,2024-03-12,On Queue,9.25
29,2024-03-13,Absent,3.216666666666667
29,2024-03-13,Break,0.5
29,2024-03-13,Meal,0.5
29,2024-03-13,On Queue,4.283333333333333
29,2024-03-13,Program Training,2.0
29,2024-03-14,Absent,10.5
29,2024-03-18,Absent,10.5
29,2024-03-19,Absent,10.5
29,2024-03-20,Absent,10.5
29,2024-03-21,Absent,10.5
30,2024-02-26,Break,0.5
30,2024-02-26,Meal,0.5
30,2024-02-26,On Queue,7.5
30,2024-02-27,Break,0.5
30,2024-02-27,Meal,0.5
30,2024-02-27,On Queue,7.5
30,2024-02-28,Break,0.5
30,2024-02-28,Meal,0.5
30,2024-02-28,On Queue,7.5
30,2024-02-29,Break,0.5
30,2024-02-29,Meal,0.5
30,2024-02-29,On Queue,7.5
30,2024-03-03,Break,0.5
30,2024-03-03,Meal,0.5
30,2024-03-03,On Queue,7.5
30,2024-03-05,Break,0.5
30,2024-03-05,Meal,0.5
30,2024-03-05,On Queue,7.5
30,2024-03-06,Break,0.5
30,2024-03-06,Meal,0.5
30,2024-03-06,On Queue,7.5
30,2024-03-07,Absent,2.533333333333333
30,2024-03-07,Break,0.25
30,2024-03-07,On Queue,5.716666666666667
30,2024-03-10,Absent,3.566666666666667
30,2024-03-10,Break,0.5
30,2024-03-10,On Queue,4.433333333333334
30,2024-03-11,Break,0.5
30,2024-03-11,Meal,0.5
30,2024-03-11,On Queue,7.5
30,2024-03-12,Break,0.5
30,2024-03-12,Meal,0.5
30,2024-03-12,On Queue,7.5
30,2024-03-13,Absent,0.8
30,2024-03-13,Break,0.25
30,2024-03-13,Meal,0.5
30,2024-03-13,On Queue,6.95
30,2024-03-14,Break,0.5
30,2024-03-14,Meal,0.5
30,2024-03-14,On Queue,7.5
30,2024-03-17,Absent,8.5
30,2024-03-18,Absent,8.5
30,2024-03-19,Break,0.5
30,2024-03-19,Meal,0.5
30,2024-03-19,On Queue,7.5
30,2024-03-20,Break,0.25
30,2024-03-20,Meeting,0.5
30,2024-03-20,NCNS,4.766666666666667
30,2024-03-20,On Queue,2.9833333333333334
30,2024-03-21,Break,0.5
30,2024-03-21,Meal,0.5
30,2024-03-21,On Queue,7.5
30,2024-03-24,Absent,3.95
30,2024-03-24,Break,0.25
30,2024-03-24,Meal,0.05
30,2024-03-24,On Queue,4.25
31,2024-02-27,Break,0.25
31,2024-02-27,Meal,0.5
31,2024-02-27,On Queue,6.0
31,2024-02-27,Time Off,1.75
31,2024-02-28,Break,0.5
31,2024-02-28,Meal,0.5
31,2024-02-28,On Queue,7.5
31,2024-02-29,Break,0.5
31,2024-02-29,Meal,0.5
31,2024-02-29,On Queue,7.5
31,2024-03-01,Break,0.5
31,2024-03-01,Meal,0.5
31,2024-03-01,On Queue,7.5
31,2024-03-04,Break,0.5
31,2024-03-04,Meal,0.5
31,2024-03-04,On Queue,7.5
31,2024-03-05,Break,0.5
31,2024-03-05,Meal,0.5
31,2024-03-05,On Queue,7.5
31,2024-03-06,Break,0.5
31,2024-03-06,Meal,0.5
31,2024-03-06,On Queue,7.5
31,2024-03-07,Break,0.25
31,2024-03-07,On Queue,4.833333333333334
31,2024-03-07,Time Off,3.4166666666666665
31,2024-03-11,Break,0.5
31,2024-03-11,Meal,0.5
31,2024-03-11,On Queue,7.5
31,2024-03-12,Break,0.5
31,2024-03-12,Meal,0.5
31,2024-03-12,On Queue,7.5
31,2024-03-18,Break,0.5
31,2024-03-18,Meal,0.5
31,2024-03-18,On Queue,7.5
31,2024-03-19,Break,0.5
31,2024-03-19,Meal,0.5
31,2024-03-19,On Queue,7.5
31,2024-03-20,Break,0.5
31,2024-03-20,Meal,0.5
31,2024-03-20,On Queue,7.5
31,2024-03-21,Break,0.5
31,2024-03-21,Meal,0.5
31,2024-03-21,On Queue,7.5
31,2024-03-22,Break,0.5
31,2024-03-22,Meal,0.5
31,2024-03-22,On Queue,7.5
32,2024-02-26,Accommodation,0.5
32,2024-02-26,Break,0.25
32,2024-02-26,On Queue,4.25
32,2024-02-27,Accommodation,0.5
32,2024-02-27,Break,0.25
32,2024-02-27,On Queue,4.25
32,2024-02-28,Accommodation,0.5
32,2024-02-28,Break,0.25
32,2024-02-28,On Queue,4.25
32,2024-02-29,Accommodation,0.5
32,2024-02-29,Break,0.25
32,2024-02-29,On Queue,4.25
32,2024-03-01,Accommodation,0.5
32,2024-03-01,Break,0.25
32,2024-03-01,On Queue,4.25
32,2024-03-04,Accommodation,0.5
32,2024-03-04,Break,0.25
32,2024-03-04,On Queue,4.25
32,2024-03-05,Accommodation,0.5
32,2024-03-05,Break,0.25
32,2024-03-05,On Queue,4.25
32,2024-03-06,Accommodation,0.5
32,2024-03-06,Break,0.25
32,2024-03-06,On Queue,4.25
32,2024-03-07,Accommodation,0.5
32,2024-03-07,Break,0.25
32,2024-03-07,On Queue,4.25
32,2024-03-08,Accommodation,0.5
32,2024-03-08,Break,0.25
32,2024-03-08,On Queue,4.25
32,2024-03-11,Accommodation,0.5
32,2024-03-11,Break,0.25
32,2024-03-11,On Queue,4.25
32,2024-03-12,Absent,1.9166666666666667
32,2024-03-12,Accommodation,0.5
32,2024-03-12,On Queue,2.5833333333333335
32,2024-03-13,Accommodation,0.5
32,2024-03-13,Break,0.25
32,2024-03-13,On Queue,4.25
32,2024-03-14,Accommodation,0.5
32,2024-03-14,Break,0.25
32,2024-03-14,On Queue,4.25
32,2024-03-18,Accommodation,0.5
32,2024-03-18,Break,0.25
32,2024-03-18,On Queue,4.25
32,2024-03-19,Accommodation,0.5
32,2024-03-19,Break,0.25
32,2024-03-19,On Queue,4.25
32,2024-03-20,Accommodation,0.5
32,2024-03-20,Break,0.25
32,2024-03-20,Meeting,0.5
32,2024-03-20,On Queue,3.75
32,2024-03-21,Absent,5.0
32,2024-03-22,Absent,5.0
33,2024-02-26,Break,0.75
33,2024-02-26,Meal,0.5
33,2024-02-26,On Queue,9.25
33,2024-02-27,Break,0.75
33,2024-02-27,Meal,0.5
33,2024-02-27,On Queue,9.25
33,2024-02-28,Break,0.75
33,2024-02-28,Meal,0.5
33,2024-02-28,On Queue,9.25
33,2024-03-02,Break,0.5
33,2024-03-02,Extra Hours,7.5
33,2024-03-02,Meal,0.5
33,2024-03-03,Break,0.75
33,2024-03-03,Meal,0.5
33,2024-03-03,On Queue,9.25
33,2024-03-04,Break,0.75
33,2024-03-04,Meal,0.5
33,2024-03-04,On Queue,9.25
33,2024-03-05,Break,0.75
33,2024-03-05,Meal,0.5
33,2024-03-05,On Queue,9.25
33,2024-03-06,Break,0.75
33,2024-03-06,Meal,0.5
33,2024-03-06,On Queue,9.25
33,2024-03-10,Break,0.75
33,2024-03-10,Meal,0.5
33,2024-03-10,On Queue,9.25
33,2024-03-11,Break,0.75
33,2024-03-11,Meal,0.5
33,2024-03-11,On Queue,9.25
33,2024-03-12,Break,0.75
33,2024-03-12,Meal,0.5
33,2024-03-12,On Queue,9.25
33,2024-03-13,Break,0.75
33,2024-03-13,Meal,0.5
33,2024-03-13,On Queue,9.25
33,2024-03-17,Break,0.75
33,2024-03-17,Meal,0.5
33,2024-03-17,On Queue,9.25
33,2024-03-18,Break,0.75
33,2024-03-18,Meal,0.5
33,2024-03-18,On Queue,9.25
33,2024-03-19,Break,0.75
33,2024-03-19,Meal,0.5
33,2024-03-19,On Queue,9.25
33,2024-03-20,Break,0.75
33,2024-03-20,Meal,0.5
33,2024-03-20,Meeting,0.5
33,2024-03-20,On Queue,8.75
33,2024-03-24,Absent,10.5
34,2024-02-26,Break,0.5
34,2024-02-26,Meal,0.5
34,2024-02-26,On Queue,7.5
34,2024-02-27,Break,0.5
34,2024-02-27,Meal,0.5
34,2024-02-27,On Queue,7.5
34,2024-03-04,Break,0.5
34,2024-03-04,Meal,0.5
34,2024-03-04,On Queue,7.5
34,2024-03-05,Break,0.5
34,2024-03-05,Meal,0.5
34,2024-03-05,On Queue,7.5
34,2024-03-06,Break,0.5
34,2024-03-06,Meal,0.5
34,2024-03-06,On Queue,7.5
34,2024-03-07,Break,0.5
34,2024-03-07,Meal,0.5
34,2024-03-07,On Queue,7.5
34,2024-03-08,Break,0.5
34,2024-03-08,Meal,0.5
34,2024-03-08,On Queue,7.5
34,2024-03-11,Break,0.5
34,2024-03-11,Meal,0.5
34,2024-03-11,On Queue,7.5
34,2024-03-12,Break,0.5
34,2024-03-12,Meal,0.5
34,2024-03-12,On Queue,7.5
34,2024-03-13,Break,0.5
34,2024-03-13,Meal,0.5
34,2024-03-13,On Queue,7.5
34,2024-03-14,Break,0.5
34,2024-03-14,Meal,0.5
34,2024-03-14,On Queue,7.5
34,2024-03-15,Break,0.5
34,2024-03-15,Meal,0.5
34,2024-03-15,On Queue,7.5
34,2024-03-18,Absent,8.333333333333334
34,2024-03-18,On Queue,0.16666666666666666
34,2024-03-19,Absent,8.5
34,2024-03-20,Absent,8.5
34,2024-03-21,Break,0.5
34,2024-03-21,Meal,0.5
34,2024-03-21,On Queue,7.5
34,2024-03-22,Break,0.5
34,2024-03-22,Meal,0.5
34,2024-03-22,Meeting,0.5
34,2024-03-22,On Queue,7.0
35,2024-02-27,Break,0.5
35,2024-02-27,Meal,0.5
35,2024-02-27,On Queue,7.5
35,2024-02-28,Break,0.5
35,2024-02-28,Meal,0.5
35,2024-02-28,On Queue,7.5
35,2024-02-29,Break,0.5
35,2024-02-29,Meal,0.5
35,2024-02-29,On Queue,7.5
35,2024-03-01,Break,0.5
35,2024-03-01,Meal,0.5
35,2024-03-01,On Queue,7.5
35,2024-03-04,Break,0.5
35,2024-03-04,Meal,0.5
35,2024-03-04,On Queue,7.5
35,2024-03-05,Absent,1.0
35,2024-03-05,Break,0.25
35,2024-03-05,Meal,0.5
35,2024-03-05,On Queue,6.75
35,2024-03-06,Break,0.5
35,2024-03-06,Meal,0.5
35,2024-03-06,On Queue,7.5
35,2024-03-07,Break,0.5
35,2024-03-07,Meal,0.5
35,2024-03-07,On Queue,7.5
35,2024-03-08,Break,0.5
35,2024-03-08,Meal,0.5
35,2024-03-08,On Queue,7.5
35,2024-03-11,Break,0.5
35,2024-03-11,Meal,0.5
35,2024-03-11,On Queue,7.5
35,2024-03-12,Absent,0.5
35,2024-03-12,Break,0.25
35,2024-03-12,Meal,0.5
35,2024-03-12,On Queue,7.25
35,2024-03-13,Break,0.5
35,2024-03-13,Meal,0.5
35,2024-03-13,On Queue,7.5
35,2024-03-14,Absent,1.0
35,2024-03-14,Break,0.5
35,2024-03-14,Meal,0.5
35,2024-03-14,On Queue,6.5
35,2024-03-15,Break,0.5
35,2024-03-15,Meal,0.5
35,2024-03-15,On Queue,7.5
35,2024-03-18,Break,0.5
35,2024-03-18,Meal,0.5
35,2024-03-18,On Queue,7.5
35,2024-03-19,Break,0.5
35,2024-03-19,Meal,0.5
35,2024-03-19,On Queue,7.5
35,2024-03-20,Break,0.5
35,2024-03-20,Meal,0.5
35,2024-03-20,Meeting,0.5
35,2024-03-20,On Queue,7.0
35,2024-03-21,Absent,1.0
35,2024-03-21,Break,0.25
35,2024-03-21,Meal,0.5
35,2024-03-21,On Queue,6.75
35,2024-03-22,Break,0.5
35,2024-03-22,Meal,0.5
35,2024-03-22,On Queue,7.5
36,2024-02-26,Break,0.5
36,2024-02-26,Meal,0.5
36,2024-02-26,On Queue,7.5
36,2024-02-27,Break,0.5
36,2024-02-27,Meal,0.5
36,2024-02-27,On Queue,7.5
36,2024-02-28,Break,0.5
36,2024-02-28,Meal,0.5
36,2024-02-28,On Queue,7.5
36,2024-02-29,Break,0.5
36,2024-02-29,Meal,0.5
36,2024-02-29,On Queue,7.5
36,2024-03-01,Break,0.5
36,2024-03-01,Meal,0.5
36,2024-03-01,On Queue,7.5
36,2024-03-04,Break,0.5
36,2024-03-04,Meal,0.5
36,2024-03-04,On Queue,7.5
36,2024-03-05,Break,0.5
36,2024-03-05,Meal,0.5
36,2024-03-05,On Queue,7.5
36,2024-03-06,Break,0.5
36,2024-03-06,Meal,0.5
36,2024-03-06,On Queue,7.5
36,2024-03-07,Break,0.5
36,2024-03-07,Meal,0.5
36,2024-03-07,On Queue,7.5
36,2024-03-08,Break,0.5
36,2024-03-08,Meal,0.5
36,2024-03-08,On Queue,7.5
36,2024-03-11,Break,0.5
36,2024-03-11,Meal,0.5
36,2024-03-11,On Queue,7.5
36,2024-03-12,Break,0.5
36,2024-03-12,Meal,0.5
36,2024-03-12,On Queue,7.5
36,2024-03-13,Break,0.5
36,2024-03-13,Meal,0.5
36,2024-03-13,On Queue,7.5
36,2024-03-14,Break,0.5
36,2024-03-14,Meal,0.5
36,2024-03-14,On Queue,7.5
36,2024-03-15,Break,0.5
36,2024-03-15,Meal,0.5
36,2024-03-15,On Queue,7.5
36,2024-03-18,Break,0.5
36,2024-03-18,Meal,0.5
36,2024-03-18,On Queue,7.5
36,2024-03-19,Break,0.5
36,2024-03-19,Meal,0.5
36,2024-03-19,Meeting,0.5
36,2024-03-19,On Queue,7.0
36,2024-03-20,Break,0.5
36,2024-03-20,Meal,0.5
36,2024-03-20,On Queue,7.5
36,2024-03-21,Break,0.5
36,2024-03-21,Meal,0.5
36,2024-03-21,On Queue,7.5
36,2024-03-22,Break,0.5
36,2024-03-22,Meal,0.5
36,2024-03-22,On Queue,6.666666666666666
36,2024-03-22,Program Training,0.8333333333333334
37,2024-02-26,Break,0.5
37,2024-02-26,Meal,0.5
37,2024-02-26,On Queue,7.5
37,2024-02-27,Break,0.5
37,2024-02-27,Meal,0.5
37,2024-02-27,On Queue,7.5
37,2024-02-28,Break,0.5
37,2024-02-28,Meal,0.5
37,2024-02-28,On Queue,7.5
37,2024-02-29,Break,0.5
37,2024-02-29,Meal,0.5
37,2024-02-29,On Queue,7.5
37,2024-03-01,Break,0.5
37,2024-03-01,Meal,0.5
37,2024-03-01,On Queue,7.5
37,2024-03-04,Break,0.5
37,2024-03-04,Meal,0.5
37,2024-03-04,On Queue,7.5
37,2024-03-05,Break,0.5
37,2024-03-05,Meal,0.5
37,2024-03-05,On Queue,7.5
37,2024-03-06,Break,0.5
37,2024-03-06,Meal,0.5
37,2024-03-06,On Queue,7.5
37,2024-03-07,Break,0.5
37,2024-03-07,Meal,0.5
37,2024-03-07,On Queue,7.5
37,2024-03-08,Break,0.5
37,2024-03-08,Meal,0.5
37,2024-03-08,On Queue,7.5
37,2024-03-11,Break,0.5
37,2024-03-11,Meal,0.5
37,2024-03-11,On Queue,7.5
37,2024-03-12,Break,0.5
37,2024-03-12,Meal,0.5
37,2024-03-12,On Queue,7.5
37,2024-03-13,Break,0.5
37,2024-03-13,Meal,0.5
37,2024-03-13,On Queue,7.5
37,2024-03-14,Break,0.5
37,2024-03-14,Meal,0.5
37,2024-03-14,On Queue,7.5
37,2024-03-15,Break,0.5
37,2024-03-15,Meal,0.5
37,2024-03-15,On Queue,7.5
37,2024-03-18,Absent,8.5
37,2024-03-19,Break,0.5
37,2024-03-19,Meal,0.5
37,2024-03-19,On Queue,7.5
37,2024-03-20,Break,0.5
37,2024-03-20,Meal,0.5
37,2024-03-20,Meeting,0.5
37,2024-03-20,On Queue,7.0
37,2024-03-21,Break,0.5
37,2024-03-21,Meal,0.5
37,2024-03-21,On Queue,7.5
37,2024-03-22,Break,0.5
37,2024-03-22,Meal,0.5
37,2024-03-22,On Queue,7.5
38,2024-02-26,Break,0.5
38,2024-02-26,Meal,0.5
38,2024-02-26,On Queue,7.5
38,2024-02-27,Break,0.5
38,2024-02-27,Meal,0.5
38,2024-02-27,On Queue,7.5
38,2024-02-28,Break,0.5
38,2024-02-28,Meal,0.5
38,2024-02-28,On Queue,7.5
38,2024-02-29,Break,0.5
38,2024-02-29,Meal,0.5
38,2024-02-29,On Queue,7.5
38,2024-03-01,Break,0.5
38,2024-03-01,Meal,0.5
38,2024-03-01,On Queue,7.5
38,2024-03-04,Break,0.5
38,2024-03-04,Meal,0.5
38,2024-03-04,On Queue,7.5
38,2024-03-05,Break,0.5
38,2024-03-05,Meal,0.5
38,2024-03-05,On Queue,7.5
38,2024-03-06,Break,0.5
38,2024-03-06,Meal,0.5
38,2024-03-06,On Queue,7.5
38,2024-03-07,Break,0.5
38,2024-03-07,Meal,0.5
38,2024-03-07,On Queue,7.5
38,2024-03-08,Break,0.5
38,2024-03-08,Meal,0.5
38,2024-03-08,On Queue,7.5
38,2024-03-11,Break,0.5
38,2024-03-11,Meal,0.5
38,2024-03-11,On Queue,7.5
38,2024-03-12,Break,0.5
38,2024-03-12,Meal,0.5
38,2024-03-12,On Queue,7.5
38,2024-03-13,Break,0.5
38,2024-03-13,Meal,0.5
38,2024-03-13,On Queue,7.5
38,2024-03-14,Break,0.5
38,2024-03-14,Meal,0.5
38,2024-03-14,On Queue,7.5
38,2024-03-15,Break,0.5
38,2024-03-15,Meal,0.5
38,2024-03-15,On Queue,7.5
38,2024-03-18,Break,0.5
38,2024-03-18,Meal,0.5
38,2024-03-18,On Queue,7.5
38,2024-03-19,Break,0.5
38,2024-03-19,Meal,0.5
38,2024-03-19,On Queue,7.5
38,2024-03-20,Break,0.5
38,2024-03-20,Meal,0.5
38,2024-03-20,On Queue,7.5
38,2024-03-21,Break,0.5
38,2024-03-21,Meal,0.5
38,2024-03-21,On Queue,7.5
38,2024-03-22,Break,0.5
38,2024-03-22,Meal,0.5
38,2024-03-22,On Queue,7.5
39,2024-02-26,Break,0.5
39,2024-02-26,Meal,0.5
39,2024-02-26,On Queue,7.5
39,2024-02-27,Break,0.5
39,2024-02-27,Meal,0.5
39,2024-02-27,On Queue,7.5
39,2024-02-28,Break,0.5
39,2024-02-28,Meal,0.5
39,2024-02-28,On Queue,7.5
39,2024-02-29,Break,0.5
39,2024-02-29,Meal,0.5
39,2024-02-29,On Queue,7.5
39,2024-03-01,Break,0.5
39,2024-03-01,Meal,0.5
39,2024-03-01,On Queue,7.5
39,2024-03-04,Break,0.5
39,2024-03-04,Meal,0.5
39,2024-03-04,On Queue,7.5
39,2024-03-05,Absent,3.5
39,2024-03-05,Break,0.25
39,2024-03-05,Meal,0.5
39,2024-03-05,On Queue,4.25
39,2024-03-06,Break,0.5
39,2024-03-06,Meal,0.5
39,2024-03-06,On Queue,7.5
39,2024-03-07,Break,0.5
39,2024-03-07,Meal,0.5
39,2024-03-07,On Queue,7.5
39,2024-03-08,Break,0.5
39,2024-03-08,Meal,0.5
39,2024-03-08,On Queue,7.5
39,2024-03-11,Break,0.5
39,2024-03-11,Meal,0.5
39,2024-03-11,On Queue,7.5
39,2024-03-12,Break,0.5
39,2024-03-12,Meal,0.5
39,2024-03-12,On Queue,7.5
39,2024-03-13,Break,0.5
39,2024-03-13,Meal,0.5
39,2024-03-13,On Queue,7.5
39,2024-03-14,Break,0.5
39,2024-03-14,Meal,0.5
39,2024-03-14,On Queue,7.5
39,2024-03-15,Break,0.5
39,2024-03-15,Meal,0.5
39,2024-03-15,On Queue,7.5
39,2024-03-18,Break,0.5
39,2024-03-18,Meal,0.5
39,2024-03-18,On Queue,7.5
39,2024-03-19,Break,0.5
39,2024-03-19,Meal,0.5
39,2024-03-19,On Queue,7.5
39,2024-03-20,Break,0.5
39,2024-03-20,Meal,0.5
39,2024-03-20,On Queue,7.5
39,2024-03-22,Break,0.5
39,2024-03-22,Meal,0.5
39,2024-03-22,Meeting,0.5
39,2024-03-22,On Queue,5.5
39,2024-03-22,Program Training,1.5
40,2024-02-26,Break,0.5
40,2024-02-26,On Queue,4.5
40,2024-02-27,Break,0.5
40,2024-02-27,On Queue,4.5
40,2024-02-28,Break,0.5
40,2024-02-28,On Queue,4.5
40,2024-02-29,Break,0.5
40,2024-02-29,On Queue,4.5
40,2024-03-01,Break,0.5
40,2024-03-01,On Queue,4.5
40,2024-03-04,Absent,0.36666666666666664
40,2024-03-04,Break,0.5
40,2024-03-04,On Queue,4.133333333333333
40,2024-03-05,Break,0.5
40,2024-03-05,On Queue,4.5
40,2024-03-06,Break,0.5
40,2024-03-06,On Queue,4.5
40,2024-03-07,Break,0.5
40,2024-03-07,On Queue,4.5
40,2024-03-08,Break,0.5
40,2024-03-08,On Queue,4.5
40,2024-03-11,Break,0.5
40,2024-03-11,On Queue,4.5
40,2024-03-12,Break,0.5
40,2024-03-12,On Queue,4.5
40,2024-03-13,Break,0.5
40,2024-03-13,On Queue,4.5
40,2024-03-14,Break,0.5
40,2024-03-14,On Queue,4.5
40,2024-03-15,Break,0.5
40,2024-03-15,On Queue,4.5
40,2024-03-18,Break,0.5
40,2024-03-18,On Queue,4.5
40,2024-03-19,Break,0.5
40,2024-03-19,On Queue,4.5
40,2024-03-20,Break,0.5
40,2024-03-20,On Queue,4.5
40,2024-03-21,Break,0.5
40,2024-03-21,On Queue,4.5
40,2024-03-22,Break,0.25
40,2024-03-22,Meeting,0.5
40,2024-03-22,On Queue,4.25
41,2024-02-27,Break,0.5
41,2024-02-27,Meal,0.5
41,2024-02-27,On Queue,7.5
41,2024-02-28,Break,0.5
41,2024-02-28,Meal,0.5
41,2024-02-28,On Queue,7.5
41,2024-02-29,Break,0.5
41,2024-02-29,Meal,0.5
41,2024-02-29,On Queue,7.5
41,2024-03-01,Break,0.5
41,2024-03-01,Meal,0.5
41,2024-03-01,On Queue,7.5
41,2024-03-02,Break,0.5
41,2024-03-02,Meal,0.5
41,2024-03-02,On Queue,7.5
41,2024-03-05,Break,0.5
41,2024-03-05,Meal,0.5
41,2024-03-05,On Queue,7.5
41,2024-03-06,Break,0.5
41,2024-03-06,Meal,0.5
41,2024-03-06,On Queue,7.5
41,2024-03-07,Break,0.5
41,2024-03-07,Meal,0.5
41,2024-03-07,On Queue,7.5
41,2024-03-08,Break,0.5
41,2024-03-08,Meal,0.5
41,2024-03-08,On Queue,7.5
41,2024-03-09,Break,0.5
41,2024-03-09,Meal,0.5
41,2024-03-09,On Queue,7.5
41,2024-03-13,Break,0.5
41,2024-03-13,Meal,0.5
41,2024-03-13,On Queue,7.5
41,2024-03-14,Break,0.5
41,2024-03-14,Meal,0.5
41,2024-03-14,On Queue,7.5
41,2024-03-15,Break,0.5
41,2024-03-15,Meal,0.5
41,2024-03-15,On Queue,7.5
41,2024-03-16,Break,0.5
41,2024-03-16,Meal,0.5
41,2024-03-16,On Queue,7.5
41,2024-03-19,Break,0.5
41,2024-03-19,Meal,0.5
41,2024-03-19,On Queue,7.5
41,2024-03-20,Break,0.5
41,2024-03-20,Meal,0.5
41,2024-03-20,Meeting,0.5
41,2024-03-20,On Queue,7.0
41,2024-03-21,Break,0.5
41,2024-03-21,Meal,0.5
41,2024-03-21,On Queue,6.0
41,2024-03-21,Program Training,1.5
41,2024-03-22,Break,0.5
41,2024-03-22,Meal,0.5
41,2024-03-22,On Queue,7.5
41,2024-03-23,Break,0.5
41,2024-03-23,Meal,0.5
41,2024-03-23,On Queue,7.5
41,2024-03-24,Break,0.25
41,2024-03-24,Extra Hours,3.75
43,2024-02-26,Break,0.5
43,2024-02-26,Meal,0.5
43,2024-02-26,On Queue,7.5
43,2024-02-27,Break,0.5
43,2024-02-27,Meal,0.5
43,2024-02-27,On Queue,7.5
43,2024-02-28,Break,0.5
43,2024-02-28,Meal,0.5
43,2024-02-28,On Queue,7.5
43,2024-02-29,Break,0.5
43,2024-02-29,Meal,0.5
43,2024-02-29,On Queue,7.5
43,2024-03-01,Break,0.5
43,2024-03-01,Meal,0.5
43,2024-03-01,On Queue,7.5
43,2024-03-04,Break,0.5
